,Train Episodes,Train Success Rates,Train Time,Test Steps,Test Success Rates
207,6,0.01,0.0010013580322265625,100.0,0.0
208,20,0.08,0.00401616096496582,6.0,1.0
209,9,0.01,0.001966714859008789,100.0,0.0
210,18,0.07,0.003968477249145508,6.0,1.0
211,20,0.08,0.003962278366088867,6.0,1.0
212,21,0.07,0.00499272346496582,6.0,1.0
213,19,0.07,0.0030188560485839844,6.0,1.0
214,21,0.08,0.003998756408691406,6.0,1.0
215,20,0.06,0.003988742828369141,6.0,1.0
216,15,0.03,0.0030384063720703125,6.0,1.0
217,12,0.0,0.0019598007202148438,100.0,0.0
218,13,0.0,0.0029587745666503906,100.0,0.0
219,9,0.0,0.002045869827270508,100.0,0.0
220,21,0.09,0.003966569900512695,6.0,1.0
221,20,0.08,0.004007577896118164,6.0,1.0
222,20,0.08,0.005032062530517578,6.0,1.0
223,18,0.03,0.002947092056274414,6.0,1.0
224,9,0.01,0.0019979476928710938,100.0,0.0
225,21,0.08,0.004006385803222656,6.0,1.0
226,13,0.01,0.0029463768005371094,100.0,0.0
227,18,0.07,0.0028967857360839844,6.0,1.0
228,9,0.0,0.001992940902709961,100.0,0.0
229,19,0.08,0.0029997825622558594,6.0,1.0
230,19,0.07,0.002971649169921875,6.0,1.0
231,18,0.07,0.003999471664428711,6.0,1.0
232,18,0.07,0.003921985626220703,6.0,1.0
233,20,0.07,0.003966808319091797,6.0,1.0
234,20,0.08,0.0029582977294921875,6.0,1.0
235,14,0.03,0.0029997825622558594,6.0,1.0
236,16,0.02,0.002996206283569336,100.0,0.0
237,19,0.08,0.004999876022338867,6.0,1.0
238,19,0.08,0.003999233245849609,6.0,1.0
239,17,0.03,0.003000020980834961,6.0,1.0
240,16,0.07,0.003000020980834961,6.0,1.0
241,13,0.01,0.002999544143676758,6.0,0.0
242,22,0.08,0.003998994827270508,6.0,1.0
243,18,0.07,0.0039997100830078125,6.0,1.0
244,20,0.08,0.002991199493408203,6.0,1.0
245,19,0.08,0.004000186920166016,6.0,1.0
246,19,0.07,0.004000186920166016,6.0,1.0
247,8,0.0,0.002003908157348633,100.0,0.0
248,11,0.01,0.002998828887939453,6.0,0.0
249,15,0.07,0.003000020980834961,6.0,1.0
250,10,0.0,0.0019860267639160156,100.0,0.0
251,18,0.05,0.0029990673065185547,6.0,1.0
252,13,0.0,0.001987934112548828,100.0,0.0
253,24,0.1,0.00500798225402832,6.0,1.0
254,20,0.07,0.0029647350311279297,6.0,1.0
255,12,0.0,0.002928018569946289,100.0,0.0
256,8,0.0,0.002093076705932617,6.0,1.0
257,18,0.07,0.004011392593383789,6.0,1.0
258,8,0.0,0.0009999275207519531,5.0,0.0
259,21,0.08,0.0040781497955322266,6.0,1.0
260,20,0.07,0.0040857791900634766,6.0,1.0
261,19,0.07,0.002918720245361328,6.0,1.0
262,19,0.07,0.002994537353515625,6.0,1.0
263,20,0.07,0.0039255619049072266,6.0,1.0
264,17,0.07,0.0039942264556884766,6.0,1.0
265,20,0.07,0.003965854644775391,6.0,1.0
266,10,0.0,0.0018908977508544922,100.0,0.0
267,19,0.08,0.004000663757324219,6.0,1.0
268,13,0.01,0.003999233245849609,6.0,1.0
269,16,0.02,0.002992868423461914,100.0,0.0
270,8,0.0,0.0010001659393310547,100.0,0.0
271,8,0.0,0.001972675323486328,100.0,0.0
272,19,0.05,0.00296783447265625,6.0,1.0
273,17,0.07,0.003999948501586914,6.0,1.0
274,19,0.07,0.002899646759033203,6.0,1.0
275,9,0.01,0.0020003318786621094,5.0,0.0
276,20,0.08,0.0039784908294677734,6.0,1.0
277,18,0.07,0.003007173538208008,6.0,1.0
278,11,0.0,0.003029346466064453,100.0,0.0
279,7,0.0,0.0009915828704833984,4.0,0.0
280,11,0.0,0.0029997825622558594,100.0,0.0
281,13,0.01,0.0030336380004882812,100.0,0.0
282,8,0.0,0.00203704833984375,100.0,0.0
283,14,0.01,0.001992940902709961,100.0,0.0
284,19,0.07,0.003037691116333008,6.0,1.0
285,19,0.07,0.0029757022857666016,6.0,1.0
286,21,0.09,0.004029035568237305,6.0,1.0
287,21,0.08,0.003975629806518555,6.0,1.0
288,21,0.09,0.00393366813659668,6.0,1.0
289,21,0.07,0.003958702087402344,6.0,1.0
290,9,0.0,0.0020418167114257812,100.0,0.0
291,8,0.0,0.0009596347808837891,100.0,0.0
292,18,0.0,0.003931283950805664,6.0,1.0
293,19,0.02,0.004994869232177734,100.0,0.0
294,17,0.03,0.002955913543701172,100.0,0.0
295,20,0.07,0.003923654556274414,6.0,1.0
296,19,0.07,0.0029697418212890625,6.0,1.0
297,19,0.07,0.0039942264556884766,6.0,1.0
298,10,0.0,0.0019741058349609375,100.0,0.0
299,19,0.07,0.0029277801513671875,6.0,1.0
300,22,0.09,0.003926753997802734,6.0,1.0
301,11,0.01,0.0019757747650146484,6.0,1.0
302,18,0.07,0.00400090217590332,6.0,1.0
303,19,0.07,0.003933429718017578,6.0,1.0
304,8,0.0,0.0020072460174560547,100.0,0.0
305,21,0.08,0.0039806365966796875,6.0,1.0
306,19,0.08,0.002937793731689453,6.0,1.0
307,20,0.05,0.003961086273193359,6.0,1.0
308,21,0.09,0.0040323734283447266,6.0,1.0
309,12,0.01,0.0029795169830322266,5.0,0.0
310,19,0.08,0.003032684326171875,6.0,1.0
311,7,0.0,0.0009517669677734375,100.0,0.0
312,10,0.0,0.0019261837005615234,6.0,1.0
313,10,0.0,0.002976655960083008,5.0,0.0
314,21,0.08,0.003994464874267578,6.0,1.0
315,13,0.0,0.002972126007080078,6.0,0.0
316,13,0.01,0.002930164337158203,100.0,0.0
317,19,0.07,0.002964019775390625,6.0,1.0
318,23,0.09,0.003946065902709961,6.0,1.0
319,21,0.08,0.0038857460021972656,6.0,1.0
320,13,0.0,0.002004384994506836,6.0,1.0
321,10,0.01,0.0019941329956054688,100.0,0.0
322,10,0.01,0.002000093460083008,100.0,0.0
323,5,0.0,0.001041412353515625,100.0,0.0
324,16,0.03,0.0030062198638916016,6.0,1.0
325,10,0.01,0.001920938491821289,100.0,0.0
326,12,0.01,0.0029668807983398438,6.0,0.0
327,25,0.11,0.00500035285949707,6.0,1.0
328,20,0.08,0.003016233444213867,6.0,1.0
329,16,0.02,0.0029592514038085938,6.0,1.0
330,21,0.08,0.0038940906524658203,6.0,1.0
331,24,0.1,0.003999948501586914,6.0,1.0
332,20,0.07,0.0029222965240478516,6.0,1.0
333,20,0.07,0.003000020980834961,6.0,1.0
334,18,0.04,0.0029921531677246094,6.0,1.0
335,10,0.01,0.0010013580322265625,100.0,0.0
336,9,0.0,0.001983642578125,100.0,0.0
337,22,0.09,0.00392603874206543,6.0,1.0
338,9,0.0,0.0019526481628417969,5.0,0.0
339,12,0.01,0.0019261837005615234,5.0,0.0
340,18,0.07,0.0029671192169189453,6.0,1.0
341,21,0.09,0.0039980411529541016,6.0,1.0
342,15,0.02,0.0029289722442626953,6.0,1.0
